,gradcam_avg_drop,gradcam_pp_avg_drop,n_images
Earthquake,21.85009301522735,40.136838025387746,5.0
Fire,14.118748137922953,1.5065385777462055,5.0
Flood,39.03142913125804,23.52179172982042,5.0
Normal,35.740021201504774,26.774582069204673,5.0
