epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.8788715600967407,0.0010000000474974513,0.3265130817890167,0.9366998672485352,0.18747912347316742
1,0.9243227243423462,0.0010000000474974513,0.20914648473262787,0.9445234537124634,0.15805980563163757
2,0.9391745924949646,0.0010000000474974513,0.17404305934906006,0.9502133727073669,0.14697715640068054
3,0.9438763856887817,0.0010000000474974513,0.15914878249168396,0.9509246349334717,0.15041249990463257
4,0.952235221862793,0.0010000000474974513,0.13349777460098267,0.9516358375549316,0.13748115301132202
5,0.9545488357543945,0.0010000000474974513,0.1254253387451172,0.9502133727073669,0.13779032230377197
6,0.9588028788566589,0.0010000000474974513,0.11463764309883118,0.9551920294761658,0.13955485820770264
7,0.9629822969436646,0.0010000000474974513,0.10857395827770233,0.9495021104812622,0.13582269847393036
8,0.9663407802581787,0.0010000000474974513,0.09865967184305191,0.9537695646286011,0.12861716747283936
9,0.9652212858200073,0.0010000000474974513,0.09740468114614487,0.9566144943237305,0.13000693917274475
10,0.9663407802581787,0.0010000000474974513,0.09234245866537094,0.9559032917022705,0.1306597888469696
11,0.9685797691345215,0.0010000000474974513,0.08971678465604782,0.9587482213973999,0.119532510638237
12,0.9706694483757019,0.0010000000474974513,0.08456441760063171,0.9594594836235046,0.12488042563199997
13,0.9714903831481934,0.0010000000474974513,0.08252553641796112,0.9516358375549316,0.12947715818881989
14,0.973132312297821,0.0010000000474974513,0.07610245048999786,0.962304413318634,0.11935027688741684
